H3K27ac_count	Gene_Name	Mean_Gene_Expression
0	A1BG	474.0
0	A2ML1	68.83333333333333
0	A2MP1	4.833333333333333
0	A4GALT	118.83333333333331
0	AACS	948.8333333333334
0	AADAT	3.6666666666666665
0	AAGAB	1824.1666666666667
0	AAR2	2384.5
0	AARS2	349.1666666666667
0	AARSD1	1201.6666666666667
0	AASS	312.6666666666667
0	AATK	18.666666666666668
0	ABCA12	0.3333333333333333
0	ABCA2	268.6666666666667
0	ABCA3	45.16666666666666
0	ABCA7	249.66666666666663
0	ABCB6	32.166666666666664
0	ABCC10	1402.5
0	ABCC11	28.0
0	ABCC13	7.0
0	ABCC2	59.5
0	ABCC5	647.5
0	ABCC6	145.83333333333334
0	ABCC8	31.33333333333333
0	ABCD2	106.0
0	ABCD3	434.0
0	ABCF1	2799.0
0	ABCF2	3702.3333333333335
0	ABCG2	291.0
0	ABCG4	0.3333333333333333
0	ABHD11	266.6666666666667
0	ABHD11-AS1	1.0
0	ABHD12	68.83333333333333
0	ABHD12B	66.5
0	ABHD16A	1019.3333333333334
0	ABHD8	9.666666666666666
0	ABI3BP	43.333333333333336
0	ABL1	268.0
0	ABLIM3	19.5
0	ABO	145.5
0	ABR	620.5
0	ABRA	41.0
0	ACAA2	1383.8333333333333
0	ACACA	327.6666666666667
0	ACACB	520.3333333333334
0	ACAD11	344.0
0	ACAD9	891.6666666666666
0	ACADM	1380.3333333333333
0	ACADVL	560.6666666666666
0	ACAP2	885.8333333333334
0	ACBD3	235.33333333333331
0	ACBD4	147.33333333333334
0	ACBD5	648.5
0	ACCS	583.6666666666666
0	ACD	683.3333333333334
0	ACE	38.16666666666666
0	ACER3	437.8333333333333
0	ACKR2	208.0
0	ACKR4	2.1666666666666665
0	ACO1	839.1666666666666
0	ACOT2	273.5
0	ACOT4	25.83333333333333
0	ACOT9	1456.3333333333333
0	ACOX1	1926.5
0	ACOX2	1.5
0	ACOX3	342.5
0	ACOXL	43.16666666666666
0	ACP7	62.66666666666666
0	ACRV1	1.8333333333333333
0	ACSBG1	126.66666666666669
0	ACSF2	99.33333333333331
0	ACSF3	683.0
0	ACSL1	251.5
0	ACSM1	8.333333333333334
0	ACSM2B	85.66666666666667
0	ACSS3	4.333333333333333
0	ACTA2	136.5
0	ACTC1	2.1666666666666665
0	ACTG1	23252.166666666668
0	ACTG1P17	53.333333333333336
0	ACTG1P20	67.83333333333333
0	ACTG2	14.666666666666666
0	ACTL10	5.166666666666667
0	ACTR1B	654.6666666666666
0	ACTR5	103.83333333333331
0	ACTRT3	5.0
0	ACVR1	348.3333333333333
0	ACVR2A	1576.0
0	ACVR2B	312.6666666666667
0	ACVRL1	36.333333333333336
0	ACY3	6.166666666666667
0	ADAD2	35.666666666666664
0	ADAM11	2.333333333333333
0	ADAM12	525.1666666666666
0	ADAM17	724.1666666666666
0	ADAM19	7094.333333333333
0	ADAM20	2.1666666666666665
0	ADAM29	27.666666666666668
0	ADAM32	293.8333333333333
0	ADAM33	5.666666666666667
0	ADAM8	228.33333333333331
0	ADAMTS1	43.16666666666666
0	ADAMTS10	44.333333333333336
0	ADAMTS13	15.666666666666666
0	ADAMTS16	20.0
0	ADAMTSL2	39.333333333333336
0	ADAMTSL5	20.166666666666668
0	ADAP1	93.5
0	ADAP2	6.0
0	ADAR	2773.1666666666665
0	ADARB1	79.16666666666667
