GeneName	CD4_mean
AC007312.1	3.5
AC007318.3	186.25
AC007325.1	76.0
AC007325.2	4.25
AC007325.4	1.0
AC007326.4	2848.25
AC007342.3	245.25
AC007347.2	72.75
AC007365.2	1.5
AC007386.1	1.75
AC007424.1	95.75
AC007458.1	9.5
AC007494.1	20.75
AC007537.1	0.75
AC007546.3	2210.0
AC007551.2	3.75
AC007599.1	8.5
AC007610.4	3.5
AC007618.1	0.0
AC007619.2	8.5
AC007663.1	3.75
AC007683.1	6.25
AC007685.1	0.75
AC007686.1	0.5
AC007688.2	33.75
AC007731.2	26.75
AC007738.1	2.0
AC007834.2	12.0
AC007842.1	161.0
AC007906.2	30.0
AC007919.1	3.25
AC007954.1	1.5
AC007956.2	18.0
AC008012.1	241.25
AC008013.2	156.75
AC008013.3	8.0
AC008013.4	7.5
AC008026.1	6.25
AC008026.2	1.75
AC008038.1	347.75
AC008040.2	3.75
AC008072.1	97.0
AC008073.3	231.75
AC008105.2	13.25
AC008132.1	115.0
AC008134.1	0.25
AC008147.3	6.25
AC008264.1	3.25
AC008267.2	23.75
AC008267.3	2.75
AC008267.4	12.0
AC008267.6	3.5
AC008267.7	1.0
AC008277.2	4.75
AC008417.1	11.5
AC008429.4	7.75
AC008481.1	33.0
AC008481.2	20.25
AC008489.1	0.25
AC008494.1	7.5
AC008498.1	8.0
AC008507.1	37.25
AC008555.6	2.0
AC008565.1	121.25
AC008567.1	28.0
AC008575.1	53.5
AC008581.2	6.5
AC008608.1	1.5
AC008626.1	10.0
AC008626.2	26.0
AC008638.2	0.25
AC008676.2	3.0
AC008676.3	240.5
AC008677.2	3.25
AC008687.4	12.0
AC008716.1	0.0
AC008750.8	0.0
AC008751.1	4.75
AC008752.4	40.0
AC008753.1	0.75
AC008758.1	228.5
AC008758.4	76.25
AC008758.6	32.75
AC008763.2	0.0
AC008764.1	2.25
AC008770.2	48.5
AC008799.1	0.5
AC008802.1	1.0
AC008813.1	5.75
AC008850.2	5.5
AC008868.1	6.5
AC008878.2	3.75
AC008953.1	161.5
AC008958.1	13.25
AC008982.1	0.0
AC009022.2	0.5
AC009027.1	6.25
AC009053.2	901.0
AC009075.2	3.0
AC009078.2	2.25
AC009091.1	3.25
AC009093.3	1504.25
AC009093.8	17.0
AC009093.9	136.0
AC009108.1	1.0
AC009117.1	0.75
AC009120.1	29.25
AC009133.6	5.75
AC009153.1	8.25
AC009163.5	101.75
AC009220.1	0.25
AC009220.2	297.25
AC009220.3	2.0
AC009237.3	38.0
AC009245.1	10.0
AC009248.1	2.5
AC009268.1	7.0
AC009299.1	34.75
AC009303.1	1.75
AC009362.1	4.5
AC009452.1	37.75
AC009474.2	1.5
AC009533.1	203.5
AC009533.3	7.5
AC009542.2	17.0
AC009570.2	26.0
AC009690.1	44.0
AC009779.4	312.0
AC009879.1	156.5
AC009879.2	0.0
AC009879.3	50.25
AC009927.1	57.0
AC009948.1	6.0
AC009961.2	4.75
AC009963.2	3.0
AC009977.1	6.75
AC010087.1	68.75
AC010099.1	3.75
AC010132.3	159.0
AC010182.1	1.25
AC010186.2	375.25
AC010197.2	67.25
AC010203.1	101.75
AC010240.3	41.25
AC010287.1	63.25
AC010301.1	5.75
AC010319.1	317.75
AC010323.1	0.0
AC010325.1	28.25
AC010326.2	9.25
AC010326.4	220.25
AC010329.2	154.0
AC010329.3	0.5
AC010332.3	41.0
AC010343.1	6.25
AC010409.1	0.25
AC010422.3	261.0
AC010422.6	44.5
AC010422.8	965.5
AC010442.2	4.75
AC010469.1	2.75
AC010469.2	1.5
AC010522.1	3.5
AC010531.1	4.75
AC010542.3	0.0
AC010547.4	18.25
AC010614.1	0.75
AC010615.1	42.75
AC010618.1	0.75
AC010619.2	88.0
AC010627.1	10.0
AC010653.1	11.75
AC010653.3	24.25
AC010655.3	10.5
AC010677.1	1.75
AC010683.1	2.25
AC010724.2	1.5
AC010867.1	221.25
AC010886.1	105.75
AC010970.1	271895.5
AC011043.1	40.75
AC011043.3	4.75
AC011247.2	3.0
AC011290.2	6.5
AC011295.1	4171.75
AC011295.2	18.0
AC011330.1	15.75
AC011330.3	9.25
AC011342.1	40.0
AC011406.1	2.0
AC011416.2	0.25
AC011444.4	0.75
AC011447.4	5.0
AC011448.1	90.5
AC011451.2	2.75
AC011458.1	7.0
AC011458.2	4.25
AC011462.1	107.5
AC011467.4	0.0
AC011475.1	308.75
AC011476.11	0.0
AC011487.1	0.5
AC011487.2	43.0
AC011495.1	4.0
AC011497.2	28.25
AC011498.4	234.25
AC011498.5	0.5
AC011499.1	3.5
AC011503.3	2.5
AC011506.1	0.75
AC011511.1	146.75
AC011511.4	3898.25
AC011611.5	41.5
AC011816.1	3.0
AC011825.1	13.0
AC011891.3	0.0
AC011921.3	5.25
AC011933.1	6.5
